"","question","text","count","category"
"1","KSADS_004","Major Depressive Disorder, Current, in Partial Remission (F32.4)",192,"Depression"
"2","KSADS_005","Major Depressive Disorder, Past (F32.9)",218,"Depression"
"3","KSADS_006","Persistent Depressive Disorder (Dysthymia) PRESENT F34.1",128,"Depression"
"4","KSADS_007","Persistent Depressive Disorder (Dysthymia) In Partial Remission F34.1",144,"Depression"
"5","KSADS_008","Persistent Depressive Disorder (Dysthymia) PAST F34.1",147,"Depression"
"6","KSADS_009","Unspecified Depressive Disorder Current (F32.9)",54,"Depression"
"7","KSADS_010","Unspecified Depressive Disorder PAST (F32.9)",99,"Depression"
"8","KSADS_052","Bipolar I Disorder, current episode manic (F31.1x)",27,"BPD"
"9","KSADS_053","Bipolar I Disorder, current episode depressed, F31.3x",194,"BPD"
"10","KSADS_054","Bipolar I Disorder, currently hypomanic  F31.0",522,"BPD"
"11","KSADS_055","Bipolar I Disorder, most recent past episode manic (F31.1x)",233,"BPD"
"12","KSADS_056","Bipolar I Disorder, most recent past episode depressed (F31.1.3x)",4,"BPD"
"13","KSADS_057","Bipolar II Disorder, currently hypomanic  F31.81",25,"BPD"
"14","KSADS_058","Bipolar II Disorder, currently depressed F31.81",8,"BPD"
"15","KSADS_059","Bipolar II Disorder, most recent past hypomanic  F31.81",22,"BPD"
"16","KSADS_060","Unspecified Bipolar and Related Disorder, current  (F31.9)",0,"BPD"
"17","KSADS_061","Unspecified Bipolar and Related Disorder, PAST (F31.9)",4,"BPD"
"18","KSADS_105","Disruptive Mood Dysregulation Disorder (DMDD) Current (F34.8)",10,"Depression"
"19","KSADS_112","Unspecified Schizophrenia Spectrum and Other Psychotic Disorder F29 (Current)",39,"Schizophrenia_Psychosis"
"20","KSADS_113","Unspecified Schizophrenia Spectrum and Other Psychotic Disorder F29 (Past)",13,"Schizophrenia_Psychosis"
"21","KSADS_153","Panic Disorder (F41.0) PRESENT",34,"Panic_Agoraphobia_SeparationAnx_SocialAnx"
"22","KSADS_154","Panic Disorder (F41.0) PAST",7,"Panic_Agoraphobia_SeparationAnx_SocialAnx"
"23","KSADS_155","Other Specified Anxiety Disorder (Panic Disorder, impairment, does not meet full criteria), F41.8",34,"Panic_Agoraphobia_SeparationAnx_SocialAnx"
"24","KSADS_156","Other Specified Anxiety Disorder, PAST, (Panic Disorder, impairment, does not meet full criteria), F41.8",23,"Panic_Agoraphobia_SeparationAnx_SocialAnx"
